,Post,IdFatherComment,Date,Caption,likesComment,Username,IdChildComment
0,0,17915052268987244,1632038293,@christianlastric 🔥,0,tat__janaa,
1,1,17914646089892037,1630990728,@mollywoodrowevans 🔥,1,samlbenj,
2,2,17898902321129127,1630644211,"What is he doing, vibrating the seat😂",0,dawnetta_debow,
3,3,17897073200159146,1630489512,Still too spoiled  its too solid for u?,0,vladacociu,
4,4,17893187441215276,1630030752,"Thats the ""Tesla Smile""",0,peterhelanders,
5,5,18246573136018602,1629557383,😂😂😂😂😂👏👏👏🔥🔥🙌🙌🙌,0,jlca.65,
6,6,17910784495990621,1629413637,Us soon @kimkardashian,4,ahmaddiyatucker,
7,7,17915492812909285,1629388930,@dineseb,1,myprivatesppam,
8,8,17982225013381671,1627784904,@caitlinmymryk,0,kevinfriesen,
9,9,17926581784665992,1627635577,@lida.b79 😋,0,vi_ttorio,
10,10,17886088862479204,1627350694,@jkalachian,0,9eglence1,
11,11,17882902490498226,1626975662,@c_williams48,1,unapologetically_tayla,
12,12,17901378368005876,1626549678,#enlivedufer 🎥🚘,0,enlivedufer,
13,13,18236924740007620,1625778886,@andrewthomasus  I know a guy,0,arthurguerra72,
14,14,17892899687238769,1625726073,😮😂,0,mina.tandis,
15,15,17846314919617334,1625266612,@evafgarcia_ o interior do meu eh esse,0,karenhigdon29,
16,16,17977665211381503,1624200397,@marcos_orion2019 atrasada no trabalho 😂😂😂,0,layssaandressaa,
17,17,17872124561415521,1623711253,@benjamindonhardtofficial 🤣🤣,0,shane_thomas_scholefield,
18,18,17878292243483940,1622809412,President Paris Hilton elf 🧝🏽‍♀️ 🧝‍♂️ Elon Musk Five Hundred Trillion Dolce&Gabbana Gucci Lamborghini Helicopters 🚁 cars 🚙 Ferrari president officials automotive productions President George Washington Five hundred ninety five billion dollars 💵 Paris Hilton elf 🧝‍♂️ elf 🧝🏽‍♀️ cars 🚗,0,afzal989_zillion_italy_puma998,
19,19,17876434454379003,1621910111,@cody_rinehart_,0,wasim.towfik,
20,20,17890502786151361,1621069505,What did he do,1,raqirothschild,
21,21,18205092448077245,1620705023,@joeblan25,0,emily.vanheerden,
22,22,17885315351232389,1620629582,I would literally do that every time Lady and I take a ride... #carforladies 💯 #cool,1,get_emcoach,
23,23,17899314103963993,1620532045,@nuray.madi,0,martinbuzora,
24,24,17930501326529932,1619805042,@levinhonainternet,0,emilenevilasboas,
25,25,18204392203077697,1618924976,😍😍😍😍😍,0,amir.haseli.7474,
26,26,17885160887094045,1618617854,❤️,0,hectorhab0148,
27,27,18062646928286154,1618340502,@theomide,0,swsp_07,
28,28,17858458304492618,1617865114,Why is an boy is wearing an pink shirt 😂😂,1,nettachon,
29,29,17869654484333855,1617764454,@theperson,1,abdulaziz.kuralbai,
30,30,17843570156566223,1617733317,Haaa so me when my hubby is driving,1,sassyneneb,
31,31,18068994718274527,1617600809,@botanicalbookworm,0,blowtokesmoke,
32,32,17909886070737544,1617572065,وای خدا چی میشه یه دونه ازینا داشته باشم,0,mirweysahmadi,
33,33,17892777796971478,1616563816,hi,0,motuharyanvi,
34,34,18154943077188768,1616451081,@thesupervincent,0,julianguttzeit,
35,35,18155153725124313,1616026944,@luchichagas,0,mate_bianchi,
36,36,17849281985510644,1615995719,@ajofn,0,daniel_yousif2,
37,37,17929103137491858,1615845065,@emrez87,1,steve.reznick,
38,38,17857841804483261,1615828376,@oliverisdigital :)),0,tobias_frank_,
39,39,17878872704114309,1615078394,@_zahra.sofia_,0,uzeifa.shair,
40,40,17911090738652525,1615078390,@iliasse_mussa @muh_.786,0,uzeifa.shair,
41,41,17870449163277260,1615061777,@will_jcb,1,altmax66,
42,42,17889722593999928,1614900945,@mason_rusk,1,benmulchandani,
43,43,17945549584435577,1614724365,@drjeffbarczak,0,lavell,
44,44,17861847530447430,1614723960,💦,0,djloso_official,
45,45,17893371577916552,1614647354,@nicole.f44,0,kry721,
46,46,17925220093524177,1614545405,🙊🙈🙉,1,teamgreenesports,
47,47,17922189721540451,1614216156,@sampadchaulia,0,cars_and_cars.only,
48,48,17901029452768450,1613781082,@elmcfadyen,0,zookz88,
49,49,18148062919143150,1613651118,@fabio_kj9,0,manuel_rsg,
50,50,17929795312491940,1613451794,@suckerfreejoe I do this to you 🤣🤣,0,kay_tamara,
51,51,17940562159443884,1613359752,@leonardousa,0,giovanosso,
52,52,18195386374036058,1612486569,Preparati @90flowers,1,zimuz,
53,53,17903280265705894,1612438809,Paid actors😂😂😂😂😂,0,priyank777.official,
54,54,17996188894311680,1612267469,@shay_manshary,1,djdannydmusic,
55,55,17859293489428980,1612220090,@lodrickmega_slime,0,nembidzane,
56,56,18068524369256123,1611807776,@miabatiste_,0,hkbat7619,
57,57,17946755212420916,1611717706,@mamahutch2,1,jeremy3carter,
58,58,18102019225207476,1611621982,@leeek804 you do this in your charger when I used to ride in it with you. Especially under bridges or taking off from a toll,0,kaatieemae,
59,59,17899928773742439,1611576935,@katietyndalll,0,osareme_ekhator,
60,60,17970140200362808,1611571315,@encaraduckbae 5년뒤 태워드림,0,sangwoojeon,
61,61,17869621766307595,1611534406,@rhivnnon,0,d_mack_13,
62,62,17904192436671168,1611525391,@__gingervitis_,0,browndogg04,
63,63,17850819374507437,1611523005,@therese.janerup.kolstad,1,kolstadgbg,
64,64,17909359489614970,1610994442,@fit_affiliated,0,usc_srt8,
65,65,18187949467020466,1610877104,@lamigatina,0,_hugomnt_,
66,66,17888404066921141,1610817945,That's why im eagerly waiting for @teslamotors to come in Pakistan 🇵🇰 😂🔥,1,muhammadnaumaniqbal,
67,67,17856649442439841,1610792308,@pkbeijing,0,marie_in_amsterdam,
68,68,18145756765126005,1610785131,@mackaivr,1,senator_blair,
69,69,18145573435123391,1610745432,@emmadayyay,0,jimbodie,
70,70,18089209165228995,1610660847,@julie_lundsteen @michellebjoerklund 😂😂,2,janika_overgaard,
71,71,18185166844025679,1610539488,@ratnaawy hehe yuk beli tesla,1,ericwjya,
72,72,18186318484001061,1610472755,FREAK FREAKY FREAKSHOW 😉😉😉😉😉😉😉😉😉😉😉,1,soren_feistel,
73,73,17869148036243173,1610331518,👍👍👍👍,1,boss.2196,
74,74,17855583089471280,1610065326,@manelbelha magicobus,1,syboum,
75,75,18151643557107661,1609957343,@emilyghardy,1,pushkidsoffbikes_,
76,76,17851014272481675,1609890896,@nathalyvvasquez,0,jeremy3carter,
77,77,18183123100039354,1609890881,@makadamianut_96,2,jeremy3carter,
78,78,18092132956217137,1609890857,@hannahcurtis01 @mattcurtis01,1,jeremy3carter,
79,79,17880920537025186,1609890826,@__sarahhhhhhhh,0,jeremy3carter,
80,80,17882876957000525,1609890773,@_lennonjane_,0,jeremy3carter,
81,81,17888087239856264,1608436803,Haha @jeffsroger :),0,arobbins12,
82,82,17889336583813688,1608403314,@lenegjostein,0,oklanden,
83,83,17864978561191109,1608005744,@smasonnn can’t stop doing it,1,vague_canvas,
84,84,17900142883648543,1607999347,"Use my referral link to receive 1,000 free Supercharger miles 
https://ts.la/maksood52013",0,zen_health_fitness,
85,85,18179045488043592,1607879150,@preet829,0,tinanotfey,
86,86,17867474096180200,1607825281,@k.streeet,1,gotdoughhhh_,
87,87,18041715847284465,1607742668,"Wow 🤩 

💪🏻😎!",0,atlasfitnessclub_ct,
88,88,17891431489780078,1607684627,@tiffany_goldie she hates it 😂😂😂,0,kaylaxxsmith_,
89,89,17896714804690092,1607612499,Akkakaak,1,felipe_moscatelly,
90,90,17855135270347207,1607610860,@felipe_moscatelly,0,laurabfs,
91,91,17895562402713265,1606812423,@paniagua_ambar21,0,leeon_mod3l,
92,92,17861528684260731,1606569287,🔥👍💣,0,siforov,
93,93,17860490180287775,1606364867,@ocampo_juanc,0,_the_real_izzy,
94,94,17873509682043166,1605891432,Love you,0,singardeepakjaiswal,
95,95,17904438601562259,1604379349,Que les haga un tema @almightytgc,0,danyvalle12,
96,96,17912194963501155,1603945061,@marlenarenae,1,marlongallardo,
97,97,17878902286874903,1603613239,@itbehiten  us 😂😂😂,1,str8teneight,
98,98,17877153211927415,1603594657,@vizzleforshizzle Orgi,0,valemoxito,
99,99,17845867163435029,1603477369,Jajaja asi hago mi cara cuando aceleras 🙊 @danielde.avila,0,fernanda.escareno,
100,100,18137413690104928,1602675737,🔥🔥🔥🔥,0,voxandoz,
101,101,17979824434311461,1602057804,#xtina😍😍😍😍😍😍😍😍😍😍😍😍😍,0,losvegasoftime,
102,102,17854506806261527,1601343988,@ra.fa.z,0,marcelzerbini,
103,103,18133638424107991,1600495241,@victoriously13,1,eriikjung,
104,104,17885931427697718,1600206928,@rihabsobh,0,nathan.kessinger,
105,105,18162651871018924,1600142877,🔥,0,g_gregluis,
106,106,18117920410131135,1599338130,@cermudezbonnie,1,angelvivaldiofficial,
107,107,17889547465630187,1599147971,Not as fast as a tycan,0,thompson_g88,
108,108,17880427867777415,1598879639,@tessabooyens ❤️🔥🔥😂😂😍,0,robbie.co.za,
109,109,17900802034528690,1598698254,@nataliacnbl,1,aleixabrado,
110,110,17896077124577631,1597979694,@shad3zofgray 👊🏾❤️,1,jaxon_osaze7,
111,111,17886140251631557,1597635374,I found you here @radhika.wali,0,mayur__gupta,
112,112,17883144544723125,1597548647,@mccaverinha,0,barais_rian,
113,113,18158042992032619,1597510273,prueba sola,0,santiagocedill0,
114,114,17882428468728350,1597250632,@s_chabs6 c’est pour quand ?😂😂😂❤️,0,nass_ay,
115,115,17954096083353743,1596317037,@gokcekorpeoglu yeyyyy 😁👍🏻,1,ebrulette,
116,116,17856932960102111,1595542850,@gadija_tiry,0,mustafaa_tiry,
117,117,17880612262723532,1595467123,"This happened to me in Boston, I did a drive test haha",1,soloveomemes12,
118,118,17848366193225134,1595124670,Ik that’s not cardi in the background,1,madeupofexperiences_,
119,119,17919504010432738,1594778408,@iamcardib,2,thnkcreatively,
120,120,17881306279670882,1594641717,🔥👏🏽,0,carofortunaok,
121,121,18145048408071332,1594567748,Haha 😆,0,martinsmida,
122,122,17951823604345545,1593712789,@olga_sophie_b 😜,0,daniel.dvh,
123,123,17905319134478666,1593630584,@tani_,1,jigaar,
124,124,17847475739182567,1593398723,@gokarolina,1,gabriella_sadler,
